,Name,POS,Age,HT,WT,College,Salary,Team,id,url,Stats,GP,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS
Jaden Springer,Jaden Springer,G,19,76.0,202.0,Tennessee,2023800.0,philadelphia-76ers,4432164,https://www.espn.com/nba/player/_/id/4432164/jaden-springer,Career,2.0,3.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,1.0
Matisse Thybulle,Matisse Thybulle,SG,25,77.0,201.0,Washington,2840160.0,philadelphia-76ers,3907498,https://www.espn.com/nba/player/_/id/3907498/matisse-thybulle,Career,196.0,21.8,45.0,32.4,65.7,1.9,1.1,1.0,1.6,2.2,0.6,4.8
P.J. Tucker,P.J. Tucker,PF,37,77.0,245.0,Texas,7000000.0,philadelphia-76ers,3033,https://www.espn.com/nba/player/_/id/3033/pj-tucker,Career,777.0,29.0,42.5,36.4,74.8,5.6,1.5,0.3,1.1,2.5,1.0,7.1
Precious Achiuwa,Precious Achiuwa,PF,22,80.0,225.0,Memphis,2711280.0,toronto-raptors,4431679,https://www.espn.com/nba/player/_/id/4431679/precious-achiuwa,Career,134.0,18.4,46.8,35.7,55.6,5.1,0.8,0.5,0.4,1.8,0.9,7.2
OG Anunoby,OG Anunoby,SF,25,79.0,232.0,Indiana,16071429.0,toronto-raptors,3934719,https://www.espn.com/nba/player/_/id/3934719/og-anunoby,Career,301.0,26.8,47.0,37.2,70.9,4.1,1.4,0.5,1.1,2.3,1.1,10.4
Dalano Banton,Dalano Banton,PG,22,79.0,203.0,Nebraska,925258.0,toronto-raptors,4397885,https://www.espn.com/nba/player/_/id/4397885/dalano-banton,Career,64.0,10.9,41.1,25.5,59.1,1.9,1.5,0.2,0.4,1.1,0.8,3.2
Scottie Barnes,Scottie Barnes,SF,21,79.0,225.0,Florida State,7280520.0,toronto-raptors,4433134,https://www.espn.com/nba/player/_/id/4433134/scottie-barnes,Career,74.0,35.4,49.2,30.1,73.5,7.5,3.5,0.7,1.1,2.6,1.8,15.3
Khem Birch,Khem Birch,C,29,81.0,233.0,UNLV,6350000.0,toronto-raptors,2578240,https://www.espn.com/nba/player/_/id/2578240/khem-birch,Career,262.0,17.8,51.8,19.1,69.7,4.6,1.0,0.6,0.5,1.7,0.6,5.2
Isaac Bonga,Isaac Bonga,G,22,80.0,180.0,--,1669178.0,toronto-raptors,4348697,https://www.espn.com/nba/player/_/id/4348697/isaac-bonga,Career,143.0,13.1,43.2,30.0,75.9,2.2,0.8,0.3,0.5,1.7,0.6,3.1
Chris Boucher,Chris Boucher,PF,29,81.0,200.0,Oregon,7020000.0,toronto-raptors,3948153,https://www.espn.com/nba/player/_/id/3948153/chris-boucher,Career,231.0,17.9,48.3,33.5,78.5,5.3,0.5,1.2,0.5,2.1,0.5,9.0
Armoni Brooks,Armoni Brooks,SG,24,75.0,195.0,Houston,136926.0,toronto-raptors,4066450,https://www.espn.com/nba/player/_/id/4066450/armoni-brooks,Career,74.0,18.4,36.6,33.0,75.8,2.3,1.2,0.2,0.5,1.5,0.7,6.9
Jeff Dowtin,Jeff Dowtin,G,25,75.0,185.0,Rhode Island,0.0,toronto-raptors,4066786,https://www.espn.com/nba/player/_/id/4066786/jeff-dowtin,Career,9.0,12.0,30.8,11.1,100.0,2.0,1.1,0.1,0.6,0.6,0.6,2.1
Malachi Flynn,Malachi Flynn,PG,24,73.0,175.0,San Diego State,2048040.0,toronto-raptors,4066668,https://www.espn.com/nba/player/_/id/4066668/malachi-flynn,Career,91.0,16.1,38.0,32.6,75.0,2.0,2.3,0.1,0.6,1.2,0.6,6.0
Ron Harper Jr.,Ron Harper Jr.,G,22,78.0,245.0,Rutgers,0.0,toronto-raptors,4397251,https://www.espn.com/nba/player/_/id/4397251/ron-harper-jr,,,,,,,,,,,,,
