,Name,POS,Age,HT,WT,College,Salary,Team,id,url,Stats,GP,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS
Hamidou Diallo,Hamidou Diallo,SG,24,"6' 5""",202 lbs,Kentucky,"$5,200,000",detroit-pistons,4080610,https://www.espn.com/nba/player/_/id/4080610/hamidou-diallo,Career,207,18.9,47.5,27.7,63.4,3.9,1.1,0.3,0.8,2.2,1.0,8.4
Jalen Duren,Jalen Duren,C,18,"6' 11""",250 lbs,Memphis,--,detroit-pistons,4433621,https://www.espn.com/nba/player/_/id/4433621/jalen-duren,,,,,,,,,,,,,
Carsen Edwards,Carsen Edwards,PG,24,"5' 11""",200 lbs,Purdue,"$1,782,621",detroit-pistons,4066407,https://www.espn.com/nba/player/_/id/4066407/carsen-edwards,Career,72,9.8,36.4,29.7,75.8,1.1,0.7,0.1,0.3,0.9,0.4,3.7
Luka Garza,Luka Garza,C,23,"6' 10""",243 lbs,Iowa,"$925,258",detroit-pistons,4277951,https://www.espn.com/nba/player/_/id/4277951/luka-garza,Career,32,12.2,44.9,32.7,62.3,3.1,0.6,0.2,0.3,1.7,0.6,5.8
Killian Hayes,Killian Hayes,PG,21,"6' 5""",195 lbs,--,"$5,572,680",detroit-pistons,4683024,https://www.espn.com/nba/player/_/id/4683024/killian-hayes,Career,92,25.2,37.4,26.8,78.0,3.0,4.5,0.5,1.1,2.6,2.1,6.8
Jaden Ivey,Jaden Ivey,G,20,"6' 4""",200 lbs,Purdue,--,detroit-pistons,4433218,https://www.espn.com/nba/player/_/id/4433218/jaden-ivey,,,,,,,,,,,,,
Frank Jackson,Frank Jackson,PG,24,"6' 3""",205 lbs,Duke,"$3,000,000",detroit-pistons,4065651,https://www.espn.com/nba/player/_/id/4065651/frank-jackson,Career,213,18.2,42.2,33.3,78.6,1.8,1.0,0.1,0.4,1.5,0.8,8.5
Cory Joseph,Cory Joseph,PG,30,"6' 3""",200 lbs,Texas,"$4,910,000",detroit-pistons,6446,https://www.espn.com/nba/player/_/id/6446/cory-joseph,Career,728,22.2,44.4,34.4,78.7,2.6,3.0,0.2,0.8,1.6,1.0,7.1
Braxton Key,Braxton Key,G,25,"6' 8""",230 lbs,Virginia,--,detroit-pistons,4066240,https://www.espn.com/nba/player/_/id/4066240/braxton-key,Career,11,17.9,45.8,28.6,53.8,4.5,1.0,1.0,0.9,2.4,1.0,7.2
Kevin Knox II,Kevin Knox II,F,23,"6' 7""",215 lbs,Kentucky,"$5,845,979",detroit-pistons,4278075,https://www.espn.com/nba/player/_/id/4278075/kevin-knox-ii,Career,212,18.9,36.9,34.0,70.5,2.9,0.8,0.3,0.4,1.6,0.9,7.7
Saben Lee,Saben Lee,PG,23,"6' 2""",183 lbs,Vanderbilt,"$1,489,065",detroit-pistons,4278124,https://www.espn.com/nba/player/_/id/4278124/saben-lee,Career,85,16.3,43.4,26.5,73.1,2.2,3.3,0.3,0.8,1.4,1.1,5.6
Isaiah Livers,Isaiah Livers,PF,24,"6' 7""",230 lbs,Michigan,"$1,057,260",detroit-pistons,4277957,https://www.espn.com/nba/player/_/id/4277957/isaiah-livers,Career,19,20.2,45.6,42.2,85.7,3.0,1.1,0.4,0.7,1.9,0.8,6.4
Rodney McGruder,Rodney McGruder,G,31,"6' 4""",205 lbs,Kansas State,"$1,669,178",detroit-pistons,2488826,https://www.espn.com/nba/player/_/id/2488826/rodney-mcgruder,Career,285,19.8,42.1,35.2,65.8,2.8,1.2,0.2,0.5,1.5,0.6,5.8
Nerlens Noel,Nerlens Noel,C,28,"6' 11""",220 lbs,Kentucky,"$8,000,000",detroit-pistons,2991280,https://www.espn.com/nba/player/_/id/2991280/nerlens-noel,Career,450,22.4,54.9,15.4,65.5,6.2,1.1,1.5,1.3,2.6,1.3,7.3
Kelly Olynyk,Kelly Olynyk,PF,31,"6' 11""",240 lbs,Gonzaga,"$12,195,122",detroit-pistons,2489663,https://www.espn.com/nba/player/_/id/2489663/kelly-olynyk,Career,610,22.0,47.6,36.5,78.2,5.1,2.0,0.5,0.8,2.8,1.5,10.1
Jamorko Pickett,Jamorko Pickett,PF,24,"6' 9""",206 lbs,Georgetown,--,detroit-pistons,4278566,https://www.espn.com/nba/player/_/id/4278566/jamorko-pickett,Career,13,13.5,36.0,33.3,50.0,2.5,0.5,0.5,0.0,0.9,0.4,3.8
Gabriele Procida,Gabriele Procida,G,--,"6' 7""",180 lbs,--,--,detroit-pistons,4871139,https://www.espn.com/nba/player/_/id/4871139/gabriele-procida,,,,,,,,,,,,,
Isaiah Stewart,Isaiah Stewart,C,21,"6' 8""",250 lbs,Washington,"$3,277,080",detroit-pistons,4432810,https://www.espn.com/nba/player/_/id/4432810/isaiah-stewart,Career,139,23.5,52.9,33.0,70.8,7.7,1.0,1.2,0.4,2.8,1.1,8.1
Kemba Walker,Kemba Walker,PG,32,"6' 0""",184 lbs,Connecticut,"$8,729,020",detroit-pistons,6479,https://www.espn.com/nba/player/_/id/6479/kemba-walker,Career,741,33.3,41.8,36.0,84.0,3.8,5.3,0.4,1.2,1.5,2.1,19.5
Justin Anderson,Justin Anderson,F,28,"6' 5""",231 lbs,Virginia,--,indiana-pacers,2982340,https://www.espn.com/nba/player/_/id/2982340/justin-anderson,Career,242,13.6,41.1,29.2,77.5,2.6,0.8,0.3,0.4,1.2,0.6,5.3
Hugo Besson,Hugo Besson,G,21,"6' 3""",196 lbs,--,--,indiana-pacers,4871138,https://www.espn.com/nba/player/_/id/4871138/hugo-besson,,,,,,,,,,,,,
Goga Bitadze,Goga Bitadze,C,23,"7' 0""",250 lbs,--,"$3,098,400",indiana-pacers,4348700,https://www.espn.com/nba/player/_/id/4348700/goga-bitadze,Career,149,11.8,47.7,25.4,70.7,2.9,0.8,0.9,0.3,1.8,0.6,5.0
Oshae Brissett,Oshae Brissett,SF,24,"6' 7""",210 lbs,Syracuse,"$1,701,593",indiana-pacers,4278031,https://www.espn.com/nba/player/_/id/4278031/oshae-brissett,Career,107,20.7,42.4,36.1,72.0,4.7,0.9,0.5,0.6,1.6,0.7,8.2
Kendall Brown,Kendall Brown,G,19,"6' 8""",205 lbs,Baylor,--,indiana-pacers,4433254,https://www.espn.com/nba/player/_/id/4433254/kendall-brown,,,,,,,,,,,,,
Chris Duarte,Chris Duarte,SG,25,"6' 5""",190 lbs,Oregon,"$3,749,400",indiana-pacers,4592402,https://www.espn.com/nba/player/_/id/4592402/chris-duarte,Career,55,28.0,43.2,36.9,80.4,4.1,2.1,0.2,1.0,1.7,1.6,13.1
Tyrese Haliburton,Tyrese Haliburton,PG,22,"6' 5""",185 lbs,Iowa State,"$4,023,600",indiana-pacers,4396993,https://www.espn.com/nba/player/_/id/4396993/tyrese-haliburton,Career,135,32.9,47.3,41.2,84.6,3.6,6.9,0.6,1.6,1.5,2.2,14.3
Buddy Hield,Buddy Hield,SG,29,"6' 4""",220 lbs,Oklahoma,"$22,768,890",indiana-pacers,2990984,https://www.espn.com/nba/player/_/id/2990984/buddy-hield,Career,468,29.2,43.0,39.8,86.5,4.3,2.5,0.3,0.8,2.1,1.8,15.9
Nate Hinton,Nate Hinton,G,23,"6' 5""",210 lbs,Houston,--,indiana-pacers,4396629,https://www.espn.com/nba/player/_/id/4396629/nate-hinton,Career,23,4.1,34.9,21.1,70.0,0.4,0.3,0.1,0.3,0.3,0.3,1.8
Isaiah Jackson,Isaiah Jackson,F,20,"6' 10""",205 lbs,Kentucky,"$2,451,240",indiana-pacers,4432170,https://www.espn.com/nba/player/_/id/4432170/isaiah-jackson,Career,36,15.0,56.3,31.3,68.2,4.1,0.3,1.4,0.7,2.6,1.1,8.3
Bennedict Mathurin,Bennedict Mathurin,G,20,"6' 6""",210 lbs,Arizona,--,indiana-pacers,4683634,https://www.espn.com/nba/player/_/id/4683634/bennedict-mathurin,,,,,,,,,,,,,
T.J. McConnell,T.J. McConnell,PG,30,"6' 1""",190 lbs,Arizona,"$7,500,000",indiana-pacers,2530530,https://www.espn.com/nba/player/_/id/2530530/tj-mcconnell,Career,481,22.2,50.3,32.7,76.9,3.0,5.0,0.2,1.3,1.5,1.6,6.9
Andrew Nembhard,Andrew Nembhard,G,22,"6' 5""",193 lbs,Florida,--,indiana-pacers,4395712,https://www.espn.com/nba/player/_/id/4395712/andrew-nembhard,,,,,,,,,,,,,
Aaron Nesmith,Aaron Nesmith,SF,22,"6' 5""",215 lbs,Vanderbilt,"$3,631,200",indiana-pacers,4396909,https://www.espn.com/nba/player/_/id/4396909/aaron-nesmith,Career,98,12.7,41.7,31.8,79.6,2.2,0.5,0.1,0.4,1.6,0.6,4.2
Jalen Smith,Jalen Smith,F,22,"6' 10""",215 lbs,Maryland,"$4,458,000",indiana-pacers,4397189,https://www.espn.com/nba/player/_/id/4397189/jalen-smith,Career,78,13.9,49.5,31.7,76.1,4.4,0.4,0.6,0.2,1.4,0.6,6.7
Lance Stephenson,Lance Stephenson,G,31,"6' 5""",210 lbs,Cincinnati,"$642,729",indiana-pacers,4244,https://www.espn.com/nba/player/_/id/4244/lance-stephenson,Career,554,22.9,44.5,31.4,69.4,4.1,2.9,0.1,0.6,2.0,1.6,8.6
Terry Taylor,Terry Taylor,SG,22,"6' 5""",230 lbs,Austin Peay,"$600,000",indiana-pacers,4279815,https://www.espn.com/nba/player/_/id/4279815/terry-taylor,Career,33,21.6,61.4,31.6,70.6,5.2,1.2,0.2,0.4,1.8,0.7,9.6
Daniel Theis,Daniel Theis,C,30,"6' 9""",245 lbs,--,"$8,280,351",indiana-pacers,2451037,https://www.espn.com/nba/player/_/id/2451037/daniel-theis,Career,306,19.6,54.5,32.9,72.2,4.9,1.3,0.9,0.5,2.7,0.8,7.6
Myles Turner,Myles Turner,C,26,"6' 11""",250 lbs,Texas,"$18,000,000",indiana-pacers,3133628,https://www.espn.com/nba/player/_/id/3133628/myles-turner,Career,431,28.7,48.9,34.9,76.8,6.7,1.2,2.3,0.7,2.9,1.3,12.7
Gabe York,Gabe York,G,29,"6' 3""",185 lbs,Arizona,--,indiana-pacers,2991011,https://www.espn.com/nba/player/_/id/2991011/gabe-york,Career,2,10.5,28.6,16.7,60.0,1.0,2.0,0.5,1.0,2.0,0.5,4.0
Grayson Allen,Grayson Allen,SG,26,"6' 4""",198 lbs,Duke,"$4,054,695",milwaukee-bucks,3135045,https://www.espn.com/nba/player/_/id/3135045/grayson-allen,Career,192,21.9,43.3,39.3,84.1,2.6,1.5,0.2,0.6,1.4,0.8,9.4
Giannis Antetokounmpo,Giannis Antetokounmpo,PF,27,"6' 11""",242 lbs,--,"$39,344,970",milwaukee-bucks,3032977,https://www.espn.com/nba/player/_/id/3032977/giannis-antetokounmpo,Career,656,32.6,53.5,28.8,71.8,9.4,4.6,1.3,1.2,3.0,2.9,21.8
Thanasis Antetokounmpo,Thanasis Antetokounmpo,SF,30,"6' 6""",219 lbs,--,"$1,669,178",milwaukee-bucks,3102533,https://www.espn.com/nba/player/_/id/3102533/thanasis-antetokounmpo,Career,127,9.1,51.7,16.7,54.5,2.0,0.7,0.2,0.4,1.3,0.6,3.1
MarJon Beauchamp,MarJon Beauchamp,G,21,"6' 7""",197 lbs,--,--,milwaukee-bucks,4432179,https://www.espn.com/nba/player/_/id/4432179/marjon-beauchamp,,,,,,,,,,,,,
Jevon Carter,Jevon Carter,PG,26,"6' 1""",200 lbs,West Virginia,"$441,277",milwaukee-bucks,3133635,https://www.espn.com/nba/player/_/id/3133635/jevon-carter,Career,223,14.1,38.6,38.3,81.0,1.7,1.4,0.2,0.6,1.2,0.5,4.4
Pat Connaughton,Pat Connaughton,SG,29,"6' 5""",209 lbs,Notre Dame,"$5,333,334",milwaukee-bucks,2578239,https://www.espn.com/nba/player/_/id/2578239/pat-connaughton,Career,417,18.5,44.5,36.5,79.7,3.3,1.2,0.3,0.5,1.2,0.5,5.9
AJ Green,AJ Green,G,22,"6' 4""",190 lbs,Northern Iowa,--,milwaukee-bucks,4397475,https://www.espn.com/nba/player/_/id/4397475/aj-green,,,,,,,,,,,,,
George Hill,George Hill,PG,36,"6' 4""",188 lbs,IUPUI,"$4,000,000",milwaukee-bucks,3438,https://www.espn.com/nba/player/_/id/3438/george-hill,Career,869,27.2,45.6,38.0,80.7,3.0,3.1,0.3,0.9,2.0,1.2,10.7
Jrue Holiday,Jrue Holiday,PG,32,"6' 3""",205 lbs,UCLA,"$32,413,333",milwaukee-bucks,3995,https://www.espn.com/nba/player/_/id/3995/jrue-holiday,Career,839,33.2,46.0,36.3,77.6,4.0,6.4,0.5,1.5,2.2,2.7,16.2
Serge Ibaka,Serge Ibaka,C,32,"6' 10""",235 lbs,--,"$9,720,900",milwaukee-bucks,3439,https://www.espn.com/nba/player/_/id/3439/serge-ibaka,Career,903,27.6,51.3,36.0,75.8,7.2,0.8,1.9,0.4,2.7,1.3,12.1
Brook Lopez,Brook Lopez,C,34,"7' 0""",282 lbs,Stanford,"$13,302,325",milwaukee-bucks,3448,https://www.espn.com/nba/player/_/id/3448/brook-lopez,Career,868,30.2,49.4,34.1,79.6,6.2,1.4,1.8,0.6,2.7,1.7,16.4
Sandro Mamukelashvili,Sandro Mamukelashvili,PF,23,"6' 11""",240 lbs,Seton Hall,--,milwaukee-bucks,4278580,https://www.espn.com/nba/player/_/id/4278580/sandro-mamukelashvili,Career,41,9.9,49.6,42.3,81.8,2.0,0.5,0.2,0.2,0.7,0.4,3.8
Wesley Matthews,Wesley Matthews,SG,35,"6' 4""",220 lbs,Marquette,"$1,237,494",milwaukee-bucks,4032,https://www.espn.com/nba/player/_/id/4032/wesley-matthews,Career,898,30.5,42.1,37.7,82.4,2.9,2.0,0.2,1.0,2.1,1.2,12.2
Khris Middleton,Khris Middleton,SF,31,"6' 7""",222 lbs,Texas A&amp;M,"$35,500,000",milwaukee-bucks,6609,https://www.espn.com/nba/player/_/id/6609/khris-middleton,Career,651,31.8,45.8,39.2,88.1,4.9,3.8,0.2,1.2,2.6,2.1,17.1
Jordan Nwora,Jordan Nwora,SF,23,"6' 8""",225 lbs,Louisville,"$1,517,981",milwaukee-bucks,4277883,https://www.espn.com/nba/player/_/id/4277883/jordan-nwora,Career,92,15.9,41.5,37.0,80.9,3.1,0.7,0.3,0.4,1.1,0.9,7.2
Bobby Portis,Bobby Portis,C,27,"6' 10""",250 lbs,Arkansas,"$4,347,600",milwaukee-bucks,3064482,https://www.espn.com/nba/player/_/id/3064482/bobby-portis,Career,453,21.7,47.0,38.3,75.2,6.6,1.2,0.4,0.6,1.9,1.1,11.1
Lindell Wigginton,Lindell Wigginton,G,24,"6' 1""",189 lbs,Iowa State,--,milwaukee-bucks,4277887,https://www.espn.com/nba/player/_/id/4277887/lindell-wigginton,Career,19,10.5,42.6,34.6,54.3,1.3,1.2,0.1,0.3,0.9,0.6,4.2
Christian Braun,Christian Braun,G,21,"6' 6""",218 lbs,Kansas,--,denver-nuggets,4431767,https://www.espn.com/nba/player/_/id/4431767/christian-braun,,,,,,,,,,,,,
Bruce Brown,Bruce Brown,SF,25,"6' 4""",202 lbs,"$4,736,102",,denver-nuggets,4065670,https://www.espn.com/nba/player/_/id/4065670/bruce-brown,Career,269,23.4,48.2,32.7,74.5,4.3,2.1,0.5,0.9,2.5,1.0,7.6
Kentavious Caldwell-Pope,Kentavious Caldwell-Pope,SG,29,"6' 5""",204 lbs,Georgia,"$13,038,862",denver-nuggets,2581018,https://www.espn.com/nba/player/_/id/2581018/kentavious-caldwell-pope,Career,683,29.2,42.1,36.0,81.3,3.1,1.7,0.2,1.1,1.8,1.0,11.6
Facundo Campazzo,Facundo Campazzo,PG,31,"5' 10""",195 lbs,--,"$3,200,000",denver-nuggets,2968334,https://www.espn.com/nba/player/_/id/2968334/facundo-campazzo,Career,130,20.1,37.2,32.8,82.8,1.9,3.5,0.3,1.1,2.0,1.1,5.6
Vlatko Cancar,Vlatko Cancar,SF,25,"6' 8""",236 lbs,--,"$1,782,621",denver-nuggets,4230557,https://www.espn.com/nba/player/_/id/4230557/vlatko-cancar,Career,70,7.2,48.4,33.3,74.2,1.3,0.5,0.1,0.2,0.6,0.4,2.3
DeMarcus Cousins,DeMarcus Cousins,C,32,"6' 10""",270 lbs,Kentucky,"$431,684",denver-nuggets,4258,https://www.espn.com/nba/player/_/id/4258/demarcus-cousins,Career,654,29.8,46.0,33.1,73.7,10.2,3.0,1.1,1.3,3.7,3.3,19.6
Aaron Gordon,Aaron Gordon,PF,26,"6' 8""",235 lbs,Arizona,"$16,409,091",denver-nuggets,3064290,https://www.espn.com/nba/player/_/id/3064290/aaron-gordon,Career,528,28.9,46.0,32.3,70.2,6.3,2.5,0.6,0.7,2.0,1.5,13.0
Jeff Green,Jeff Green,PF,35,"6' 8""",235 lbs,Georgetown,"$4,500,000",denver-nuggets,3209,https://www.espn.com/nba/player/_/id/3209/jeff-green,Career,1051,29.0,44.8,33.9,80.6,4.3,1.5,0.5,0.7,2.2,1.4,12.6
Markus Howard,Markus Howard,PG,23,"5' 10""",175 lbs,Marquette,--,denver-nuggets,4065805,https://www.espn.com/nba/player/_/id/4065805/markus-howard,Career,68,5.6,38.2,34.1,84.4,0.5,0.4,0.0,0.2,0.6,0.4,3.4
Bones Hyland,Bones Hyland,PG,21,"6' 2""",169 lbs,Virginia Commonwealth,"$2,096,880",denver-nuggets,4592492,https://www.espn.com/nba/player/_/id/4592492/bones-hyland,Career,69,19.0,40.3,36.6,85.6,2.7,2.8,0.3,0.6,2.2,1.2,10.1
Nikola Jokic,Nikola Jokic,C,27,"6' 11""",284 lbs,--,"$31,579,390",denver-nuggets,3112335,https://www.espn.com/nba/player/_/id/3112335/nikola-jokic,Career,527,30.4,54.2,34.5,83.0,10.4,6.2,0.7,1.2,2.8,2.8,19.7
DeAndre Jordan,DeAndre Jordan,C,34,"6' 11""",265 lbs,Texas A&amp;M,"$374,126",denver-nuggets,3442,https://www.espn.com/nba/player/_/id/3442/deandre-jordan,Career,980,26.7,67.3,8.3,47.5,10.3,1.0,1.5,0.5,2.5,1.4,9.1
Jamal Murray,Jamal Murray,PG,25,"6' 3""",215 lbs,Kentucky,"$29,467,800",denver-nuggets,3936299,https://www.espn.com/nba/player/_/id/3936299/jamal-murray,Career,345,30.1,44.6,36.7,87.8,3.6,3.8,0.3,1.0,1.9,2.0,16.3
Zeke Nnaji,Zeke Nnaji,PF,21,"6' 9""",240 lbs,Arizona,"$2,498,760",denver-nuggets,4431690,https://www.espn.com/nba/player/_/id/4431690/zeke-nnaji,Career,83,13.2,50.3,43.9,66.3,2.6,0.3,0.2,0.3,1.3,0.4,4.9
Michael Porter Jr.,Michael Porter Jr.,SF,24,"6' 10""",218 lbs,Missouri,"$5,258,735",denver-nuggets,4278104,https://www.espn.com/nba/player/_/id/4278104/michael-porter-jr,Career,125,24.6,51.8,41.9,79.5,6.1,1.1,0.6,0.6,1.9,1.1,14.1
Davon Reed,Davon Reed,SG,27,"6' 5""",206 lbs,--,,denver-nuggets,3059262,https://www.espn.com/nba/player/_/id/3059262/davon-reed,Career,79,12.1,43.4,39.1,66.7,1.9,0.9,0.1,0.4,1.1,0.3,3.6
Ish Smith,Ish Smith,PG,34,"6' 0""",175 lbs,Wake Forest,"$4,500,000",denver-nuggets,4305,https://www.espn.com/nba/player/_/id/4305/ish-smith,Career,719,20.0,43.0,32.5,67.7,2.5,3.9,0.3,0.7,1.3,1.2,7.6
Peyton Watson,Peyton Watson,F,19,"6' 8""",200 lbs,UCLA,--,denver-nuggets,4576087,https://www.espn.com/nba/player/_/id/4576087/peyton-watson,,,,,,,,,,,,,
Jack White,Jack White,F,25,"6' 7""",222 lbs,Duke,--,denver-nuggets,4065653,https://www.espn.com/nba/player/_/id/4065653/jack-white,,,,,,,,,,,,,
Kyle Anderson,Kyle Anderson,SF,28,"6' 9""",230 lbs,UCLA,"$9,937,150",minnesota-timberwolves,2993874,https://www.espn.com/nba/player/_/id/2993874/kyle-anderson,Career,505,21.0,47.6,33.4,71.1,4.4,2.3,0.6,1.0,1.5,1.0,6.7
Anthony Edwards,Anthony Edwards,SF,21,"6' 4""",225 lbs,Georgia,"$10,245,480",minnesota-timberwolves,4594268,https://www.espn.com/nba/player/_/id/4594268/anthony-edwards,Career,144,33.2,42.9,34.4,78.1,4.7,3.4,0.6,1.3,2.0,2.4,20.3
Bryn Forbes,Bryn Forbes,SG,29,"6' 2""",205 lbs,Michigan State,"$4,500,000",minnesota-timberwolves,2994526,https://www.espn.com/nba/player/_/id/2994526/bryn-forbes,Career,406,20.5,43.8,41.3,82.0,1.7,1.2,0.0,0.4,1.4,0.7,9.1
Rudy Gobert,Rudy Gobert,C,30,"7' 1""",258 lbs,--,"$35,344,828",minnesota-timberwolves,3032976,https://www.espn.com/nba/player/_/id/3032976/rudy-gobert,Career,611,30.0,65.3,0.0,63.8,11.7,1.3,2.2,0.7,2.6,1.6,12.4
Nathan Knight,Nathan Knight,F,24,"6' 10""",253 lbs,William &amp; Mary,--,minnesota-timberwolves,4067325,https://www.espn.com/nba/player/_/id/4067325/nathan-knight,Career,70,7.8,43.6,21.7,76.5,2.2,0.4,0.3,0.2,0.9,0.5,3.7
A.J. Lawson,A.J. Lawson,G,22,"6' 6""",179 lbs,South Carolina,--,minnesota-timberwolves,4067017,https://www.espn.com/nba/player/_/id/4067017/aj-lawson,,,,,,,,,,,,,
Jake Layman,Jake Layman,SF,28,"6' 8""",209 lbs,Maryland,"$3,940,185",minnesota-timberwolves,2982268,https://www.espn.com/nba/player/_/id/2982268/jake-layman,Career,243,12.8,46.0,30.0,71.9,1.7,0.5,0.3,0.4,1.0,0.5,4.8
Jaden McDaniels,Jaden McDaniels,PF,21,"6' 9""",185 lbs,Washington,"$2,063,280",minnesota-timberwolves,4431671,https://www.espn.com/nba/player/_/id/4431671/jaden-mcdaniels,Career,133,24.9,45.5,33.8,72.4,3.9,1.1,0.9,0.7,3.0,0.9,8.1
Jordan McLaughlin,Jordan McLaughlin,PG,26,"5' 11""",185 lbs,USC,"$2,000,000",minnesota-timberwolves,3134916,https://www.espn.com/nba/player/_/id/3134916/jordan-mclaughlin,Career,143,17.0,44.4,35.2,72.5,1.8,3.5,0.1,1.0,0.9,0.8,5.0
Josh Minott,Josh Minott,F,20,"6' 8""",205 lbs,Memphis,--,minnesota-timberwolves,4687718,https://www.espn.com/nba/player/_/id/4687718/josh-minott,,,,,,,,,,,,,
Greg Monroe,Greg Monroe,C,32,"6' 10""",250 lbs,Georgetown,--,minnesota-timberwolves,4260,https://www.espn.com/nba/player/_/id/4260/greg-monroe,Career,646,27.4,51.4,5.9,70.3,8.2,2.1,0.6,1.1,2.2,1.9,13.0
Wendell Moore Jr.,Wendell Moore Jr.,F,20,"6' 5""",213 lbs,Duke,--,minnesota-timberwolves,4592187,https://www.espn.com/nba/player/_/id/4592187/wendell-moore-jr,,,,,,,,,,,,,
Jaylen Nowell,Jaylen Nowell,SG,23,"6' 4""",201 lbs,Washington,"$1,782,621",minnesota-timberwolves,4278541,https://www.espn.com/nba/player/_/id/4278541/jaylen-nowell,Career,119,15.8,44.6,34.5,81.1,1.9,1.8,0.2,0.4,1.3,0.6,8.1
Eric Paschall,Eric Paschall,F,25,"6' 6""",255 lbs,Villanova,"$1,782,621",minnesota-timberwolves,3133817,https://www.espn.com/nba/player/_/id/3133817/eric-paschall,Career,158,19.5,49.4,32.6,75.8,3.2,1.4,0.2,0.3,1.5,1.0,9.8
Taurean Prince,Taurean Prince,PF,28,"6' 6""",218 lbs,Baylor,"$13,000,000",minnesota-timberwolves,2990962,https://www.espn.com/nba/player/_/id/2990962/taurean-prince,Career,370,24.2,41.6,37.1,81.5,3.9,1.7,0.4,0.8,2.0,1.6,10.5
Naz Reid,Naz Reid,C,22,"6' 9""",264 lbs,LSU,"$1,782,621",minnesota-timberwolves,4396971,https://www.espn.com/nba/player/_/id/4396971/naz-reid,Career,177,17.3,49.0,34.3,72.3,4.2,1.0,1.0,0.5,2.5,1.0,9.5
Austin Rivers,Austin Rivers,SG,30,"6' 4""",200 lbs,Duke,"$1,669,178",minnesota-timberwolves,6617,https://www.espn.com/nba/player/_/id/6617/austin-rivers,Career,655,24.2,41.8,34.9,64.9,2.1,2.2,0.2,0.7,2.1,1.1,8.8
D'Angelo Russell,D'Angelo Russell,PG,26,"6' 4""",193 lbs,Ohio State,"$30,013,500",minnesota-timberwolves,3136776,https://www.espn.com/nba/player/_/id/3136776/dangelo-russell,Career,424,29.4,42.0,35.6,78.1,3.5,5.6,0.3,1.1,1.9,2.8,17.7
Matteo Spagnolo,Matteo Spagnolo,G,19,"6' 6""",194 lbs,--,--,minnesota-timberwolves,4997532,https://www.espn.com/nba/player/_/id/4997532/matteo-spagnolo,,,,,,,,,,,,,
Karl-Anthony Towns,Karl-Anthony Towns,C,26,"6' 11""",248 lbs,Kentucky,"$31,650,600",minnesota-timberwolves,3136195,https://www.espn.com/nba/player/_/id/3136195/karl-anthony-towns,Career,482,34.2,52.7,39.7,83.3,11.3,3.1,1.4,0.8,3.4,2.7,23.2
McKinley Wright IV,McKinley Wright IV,PG,23,"5' 11""",192 lbs,Colorado,--,minnesota-timberwolves,4278507,https://www.espn.com/nba/player/_/id/4278507/mckinley-wright-iv,Career,5,3.8,66.7,50.0,0.0,0.0,0.6,0.0,0.0,0.2,0.2,1.0
Darius Bazley,Darius Bazley,PF,22,"6' 8""",208 lbs,--,"$2,513,040",oklahoma-city-thunder,4423545,https://www.espn.com/nba/player/_/id/4423545/darius-bazley,Career,185,25.8,40.6,30.5,69.5,5.8,1.3,0.7,0.6,1.0,1.4,10.0
Ousmane Dieng,Ousmane Dieng,F,19,"6' 10""",216 lbs,--,--,oklahoma-city-thunder,4997526,https://www.espn.com/nba/player/_/id/4997526/ousmane-dieng,,,,,,,,,,,,,
Luguentz Dort,Luguentz Dort,SF,23,"6' 3""",215 lbs,Arizona State,"$1,782,621",oklahoma-city-thunder,4397020,https://www.espn.com/nba/player/_/id/4397020/luguentz-dort,Career,139,29.0,39.5,33.3,79.7,3.5,1.5,0.3,0.9,2.7,1.4,13.3
Derrick Favors,Derrick Favors,C,31,"6' 9""",265 lbs,Georgia Tech,"$9,720,900",oklahoma-city-thunder,4257,https://www.espn.com/nba/player/_/id/4257/derrick-favors,Career,790,24.3,53.4,19.8,66.3,7.1,1.1,1.2,0.7,2.5,1.3,10.6
Melvin Frazier Jr.,Melvin Frazier Jr.,G,25,"6' 5""",215 lbs,Tulane,--,oklahoma-city-thunder,3913546,https://www.espn.com/nba/player/_/id/3913546/melvin-frazier-jr,Career,32,9.1,34.0,20.9,53.3,0.9,0.2,0.1,0.3,0.8,0.3,2.7
Josh Giddey,Josh Giddey,SG,19,"6' 8""",210 lbs,--,"$5,988,000",oklahoma-city-thunder,4871145,https://www.espn.com/nba/player/_/id/4871145/josh-giddey,Career,54,31.5,41.9,26.3,70.9,7.8,6.4,0.4,0.9,1.6,3.2,12.5
Shai Gilgeous-Alexander,Shai Gilgeous-Alexander,PG,24,"6' 6""",180 lbs,Kentucky,"$5,495,532",oklahoma-city-thunder,4278073,https://www.espn.com/nba/player/_/id/4278073/shai-gilgeous-alexander,Career,243,31.8,47.3,34.8,80.7,4.5,4.3,0.7,1.1,2.1,2.2,18.2
Jaylen Hoard,Jaylen Hoard,F,23,"6' 8""",216 lbs,Wake Forest,--,oklahoma-city-thunder,4395688,https://www.espn.com/nba/player/_/id/4395688/jaylen-hoard,Career,39,17.0,49.0,23.1,61.8,4.6,1.2,0.3,0.6,1.2,0.7,6.6
Chet Holmgren,Chet Holmgren,F,20,"7' 1""",195 lbs,Gonzaga,--,oklahoma-city-thunder,4433255,https://www.espn.com/nba/player/_/id/4433255/chet-holmgren,,,,,,,,,,,,,
