,Name,POS,Age,HT,WT,College,Salary,Team,id,url,Stats,GP,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS
Georges Niang,Georges Niang,SF,29,"6' 7""",230 lbs,Iowa State,"$3,300,000",philadelphia-76ers,2990969,https://www.espn.com/nba/player/_/id/2990969/georges-niang,Career,305,14.6,43.7,40.4,87.3,2.0,0.8,0.1,0.3,1.5,0.6,6.1
Myles Powell,Myles Powell,G,25,"6' 2""",195 lbs,Seton Hall,--,philadelphia-76ers,4065816,https://www.espn.com/nba/player/_/id/4065816/myles-powell,Career,11,4.7,29.4,16.7,100.0,0.5,0.3,0.0,0.1,0.7,0.3,1.2
Paul Reed,Paul Reed,SF,23,"6' 9""",210 lbs,DePaul,"$1,517,981",philadelphia-76ers,4278562,https://www.espn.com/nba/player/_/id/4278562/paul-reed,Career,64,7.5,55.2,14.3,45.5,2.4,0.4,0.4,0.7,1.3,0.3,3.2
Jaden Springer,Jaden Springer,G,19,"6' 4""",202 lbs,Tennessee,"$2,023,800",philadelphia-76ers,4432164,https://www.espn.com/nba/player/_/id/4432164/jaden-springer,Career,2,3.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,1.0
Matisse Thybulle,Matisse Thybulle,SG,25,"6' 5""",201 lbs,Washington,"$2,840,160",philadelphia-76ers,3907498,https://www.espn.com/nba/player/_/id/3907498/matisse-thybulle,Career,196,21.8,45.0,32.4,65.7,1.9,1.1,1.0,1.6,2.2,0.6,4.8
P.J. Tucker,P.J. Tucker,PF,37,"6' 5""",245 lbs,Texas,"$7,000,000",philadelphia-76ers,3033,https://www.espn.com/nba/player/_/id/3033/pj-tucker,Career,777,29.0,42.5,36.4,74.8,5.6,1.5,0.3,1.1,2.5,1.0,7.1
Precious Achiuwa,Precious Achiuwa,PF,22,"6' 8""",225 lbs,Memphis,"$2,711,280",toronto-raptors,4431679,https://www.espn.com/nba/player/_/id/4431679/precious-achiuwa,Career,134,18.4,46.8,35.7,55.6,5.1,0.8,0.5,0.4,1.8,0.9,7.2
OG Anunoby,OG Anunoby,SF,25,"6' 7""",232 lbs,Indiana,"$16,071,429",toronto-raptors,3934719,https://www.espn.com/nba/player/_/id/3934719/og-anunoby,Career,301,26.8,47.0,37.2,70.9,4.1,1.4,0.5,1.1,2.3,1.1,10.4
Dalano Banton,Dalano Banton,PG,22,"6' 7""",203 lbs,Nebraska,"$925,258",toronto-raptors,4397885,https://www.espn.com/nba/player/_/id/4397885/dalano-banton,Career,64,10.9,41.1,25.5,59.1,1.9,1.5,0.2,0.4,1.1,0.8,3.2
Scottie Barnes,Scottie Barnes,SF,21,"6' 7""",225 lbs,Florida State,"$7,280,520",toronto-raptors,4433134,https://www.espn.com/nba/player/_/id/4433134/scottie-barnes,Career,74,35.4,49.2,30.1,73.5,7.5,3.5,0.7,1.1,2.6,1.8,15.3
Khem Birch,Khem Birch,C,29,"6' 9""",233 lbs,UNLV,"$6,350,000",toronto-raptors,2578240,https://www.espn.com/nba/player/_/id/2578240/khem-birch,Career,262,17.8,51.8,19.1,69.7,4.6,1.0,0.6,0.5,1.7,0.6,5.2
Isaac Bonga,Isaac Bonga,G,22,"6' 8""",180 lbs,--,"$1,669,178",toronto-raptors,4348697,https://www.espn.com/nba/player/_/id/4348697/isaac-bonga,Career,143,13.1,43.2,30.0,75.9,2.2,0.8,0.3,0.5,1.7,0.6,3.1
Chris Boucher,Chris Boucher,PF,29,"6' 9""",200 lbs,Oregon,"$7,020,000",toronto-raptors,3948153,https://www.espn.com/nba/player/_/id/3948153/chris-boucher,Career,231,17.9,48.3,33.5,78.5,5.3,0.5,1.2,0.5,2.1,0.5,9.0
Armoni Brooks,Armoni Brooks,SG,24,"6' 3""",195 lbs,Houston,"$136,926",toronto-raptors,4066450,https://www.espn.com/nba/player/_/id/4066450/armoni-brooks,Career,74,18.4,36.6,33.0,75.8,2.3,1.2,0.2,0.5,1.5,0.7,6.9
Jeff Dowtin,Jeff Dowtin,G,25,"6' 3""",185 lbs,Rhode Island,--,toronto-raptors,4066786,https://www.espn.com/nba/player/_/id/4066786/jeff-dowtin,Career,9,12.0,30.8,11.1,100.0,2.0,1.1,0.1,0.6,0.6,0.6,2.1
Malachi Flynn,Malachi Flynn,PG,24,"6' 1""",175 lbs,San Diego State,"$2,048,040",toronto-raptors,4066668,https://www.espn.com/nba/player/_/id/4066668/malachi-flynn,Career,91,16.1,38.0,32.6,75.0,2.0,2.3,0.1,0.6,1.2,0.6,6.0
